well,sample_id
A1,standard_1
A2,standard_1
A3,standard_2
A4,standard_2
A5,standard_3
A6,standard_3
A7,standard_4
A8,standard_4
A9,standard_5
A10,standard_5
A11,standard_6
A12,standard_6
B1,standard_7
B2,standard_7
B3,standard_8
B4,standard_8
B5,standard_9
B6,standard_9
B7,standard_10
B8,standard_10
B9,D2-B4-100
B10,D2-B4-100
B11,D2-B3-103
B12,D2-B3-103
C1,S2-B2-104
C2,S2-B2-104
C3,S4-C2-105
C4,S4-C2-105
C5,G2-B1-106
C6,G2-B1-106
C7,D5-B1-108
C8,D5-B1-108
C9,G2-B3-109
C10,G2-B3-109
C11,D4-C4-110
C12,D4-C4-110
D1,D1-C3-114
D2,D1-C3-114
D3,G1-C1-118
D4,G1-C1-118
D5,S2-B1-120
D6,S2-B1-120
D7,D5-C2-121
D8,D5-C2-121
D9,S4-B1-122
D10,S4-B1-122
D11,G1-C3-125
D12,G1-C3-125
E1,G5-B1-127
E2,G5-B1-127
E3,D2-C3-128
E4,D2-C3-128
E5,S5-B4-133
E6,S5-B4-133
E7,G4-C4-134
E8,G4-C4-134
E9,D4-B1-137
E10,D4-B1-137
E11,S4-C4-141
E12,S4-C4-141
F1,D2-C4-145
F2,D2-C4-145
F3,S1-C3-146
F4,S1-C3-146
F5,S4-B4-147
F6,S4-B4-147
F7,S4-B2-149
F8,S4-B2-149
F9,S2-C2-150
F10,S2-C2-150
F11,G1-B2-152
F12,G1-B2-152
G1,G2-B2-153
G2,G2-B2-153
G3,G4-B3-155
G4,G4-B3-155
G5,S4-C1-156
G6,S4-C1-156
G7,G2-C2-157
G8,G2-C2-157
G9,S2-C1-158
G10,S2-C1-158
G11,G4-C1-162
G12,G4-C1-162
H1,S5-B1-171
H2,S5-B1-171
H3,G2-C3-172
H4,G2-C3-172
H5,S1-C1-173
H6,S1-C1-173
H7,S2-B4-178
H8,S2-B4-178
H9,D1-C2-184
H10,D1-C2-184
H11,D4-C3-185
H12,D4-C3-185
