well,sample_id
A1,BK
A2,BK
A3,D4-C2-1
A4,D4-C2-1
A5,D1-B2-2
A6,D1-B2-2
A7,S5-B3-4
A8,S5-B3-4
A9,D5-C1-7
A10,D5-C1-7
A11,S1-B1-9
A12,S1-B1-9
B1,D5-B2-11
B2,D5-B2-11
B3,G4-B4-12
B4,G4-B4-12
B5,D2-C2-15
B6,D2-C2-15
B7,G4-B1-17
B8,G4-B1-17
B9,S1-B3-18
B10,S1-B3-18
B11,G5-B3-19
B12,G5-B3-19
C1,G1-B3-24
C2,G1-B3-24
C3,G1-B1-26
C4,G1-B1-26
C5,D2-B2-30
C6,D2-B2-30
C7,D1-B4-32
C8,D1-B4-32
C9,D2-C1-36
C10,D2-C1-36
C11,G5-C4-41
C12,G5-C4-41
D1,G4-C2-42
D2,G4-C2-42
D3,S5-C3-45
D4,S5-C3-45
D5,S4-C3-47
D6,S4-C3-47
D7,G5-C1-49
D8,G5-C1-49
D9,G1-C2-50
D10,G1-C2-50
D11,D5-B4-53
D12,D5-B4-53
E1,G5-C3-56
E2,G5-C3-56
E3,G2-C4-57
E4,G2-C4-57
E5,S5-B2-63
E6,S5-B2-63
E7,D5-B3-64
E8,D5-B3-64
E9,D4-C1-65
E10,D4-C1-65
E11,G5-B4-67
E12,G5-B4-67
F1,D4-B4-70
F2,D4-B4-70
F3,G4-C3-72
F4,G4-C3-72
F5,S5-C1-74
F6,S5-C1-74
F7,G2-C1-84
F8,G2-C1-84
F9,S2-C3-86
F10,S2-C3-86
F11,D2-B1-91
F12,D2-B1-91
G1,S2-C4-97
G2,S2-C4-97
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
