time_start,time_end,exact_depth,date,n_sym_1,n_apo_1,n_sym_2,n_apo_2,algae,quality_control,mean_sym,mean_apo,tide,corrected_depth,light,temp,LOGGERS
9:10,9:13,24,11/2/23,19,0,19,1,5,good,19,0.5,2.30,21.70,305.3891,15.01,XZ
9:14,9:16,26,11/2/23,17,2,13,1,30,good,15,1.5,2.40,23.60,784.4522,15.12043,XZ
9:17,9:18,25,11/2/23,6,1,5,2,40,good,5.5,1.5,2.40,22.60,885.9294,15.17,XZ
9:19,9:22,23,11/2/23,6,2,8,1,75,good,7,1.5,2.50,20.50,1617.99,15.17049,XZ
9:22,9:26,22,11/2/23,3,13,3,14,70,good,3,13.5,2.50,19.50,1236.8,15.17241,XZ
9:27,9:28,12,11/2/23,0,0,0,0,90,good,0,0,2.60,9.40,608.97,15.1575,XZ
9:29,9:30,10,11/2/23,0,1,0,1,85,good,0,1,2.60,7.40,1015.579,15.13158,XZ
9:30,9:32,10,11/2/23,0,0,0,0,95,good,0,0,2.60,7.40,1114.464,15.1144,XZ
9:33,9:35,6,11/2/23,0,4,0,4,100,good,0,4,2.60,3.40,635.3257,15.07,XZ
9:36,9:37,5,11/2/23,4,8,4,8,100,good,4,8,2.70,2.30,504.3792,15.02,XZ
9:39,9:39,12,11/2/23,0,0,0,0,90,good,0,0,2.70,9.30,473.5,14.90375,XZ
9:41,9:42,8,11/2/23,2,0,2,0,80,good,2,0,2.70,5.30,1125.461,14.892,XZ
9:44,9:45,6,11/2/23,4,1,4,1,70,good,4,1,2.80,3.20,794.24,14.83368,XZ
9:50,9:51,4,11/2/23,0,0,0,0,100,good,0,0,2.80,1.20,10512.56,14.98708,XZ
9:51,9:53,5,11/2/23,0,1,0,1,100,good,0,1,2.90,2.10,11365.57,15.02676,XZ
