

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TLAP_CHL_12092023_200s.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	12/9/2023
Time	11:21:30 AM
Reader Type:	Synergy HTX
Reader Serial Number:	18041123
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	22.0



Actual Temperature:	22.0



Actual Temperature:	22.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.029	0.028	0.050	0.053	0.033	0.041	0.035	0.035	0.053	0.047	0.046	0.052	Chl:630
	0.029	0.028	0.130	0.144	0.040	0.047	0.043	0.044	0.096	0.091	0.104	0.113	Chl:663
	0.029	0.029	0.030	0.031	0.032	0.037	0.031	0.031	0.041	0.032	0.030	0.035	Chl:750
B	0.034	0.035	0.031	0.032	0.087	0.089	0.030	0.031	0.036	0.034	0.037	0.034	Chl:630
	0.036	0.037	0.034	0.036	0.267	0.281	0.032	0.034	0.044	0.043	0.037	0.035	Chl:663
	0.033	0.035	0.030	0.031	0.033	0.032	0.030	0.031	0.033	0.031	0.036	0.035	Chl:750
C	0.043	0.045	0.057	0.065	0.038	0.041	0.028	0.028	0.028	0.030	0.033	0.028	Chl:630
	0.082	0.085	0.143	0.157	0.057	0.061	0.028	0.028	0.028	0.030	0.033	0.029	Chl:663
	0.033	0.034	0.032	0.037	0.032	0.035	0.028	0.028	0.028	0.030	0.033	0.029	Chl:750
D	0.029	0.029	0.032	0.030	0.028	0.031	0.028	0.028	0.028	0.030	0.028	0.032	Chl:630
	0.029	0.029	0.032	0.030	0.029	0.031	0.028	0.028	0.028	0.030	0.028	0.031	Chl:663
	0.029	0.029	0.031	0.030	0.028	0.031	0.028	0.028	0.028	0.030	0.028	0.032	Chl:750
E	0.030	0.035	0.030	0.028	0.031	0.040	0.034	0.028	0.029	0.034	0.028	0.028	Chl:630
	0.030	0.035	0.029	0.028	0.030	0.040	0.034	0.028	0.029	0.034	0.028	0.028	Chl:663
	0.030	0.035	0.029	0.028	0.030	0.040	0.034	0.028	0.029	0.034	0.028	0.028	Chl:750
F	0.028	0.028	0.028	0.028	0.028	0.029	0.034	0.028	0.029	0.028	0.030	0.030	Chl:630
	0.028	0.029	0.028	0.028	0.028	0.029	0.034	0.028	0.029	0.028	0.030	0.030	Chl:663
	0.028	0.029	0.028	0.028	0.028	0.029	0.034	0.028	0.029	0.028	0.030	0.030	Chl:750
G	0.028	0.028	0.028	0.028	0.029	0.028	0.032	0.029	0.028	0.031	0.028	0.032	Chl:630
	0.028	0.029	0.028	0.028	0.029	0.028	0.032	0.030	0.028	0.031	0.028	0.033	Chl:663
	0.028	0.029	0.028	0.028	0.029	0.028	0.031	0.029	0.028	0.031	0.028	0.033	Chl:750
H	0.028	0.032	0.029	0.030	0.028	0.028	0.029	0.028	0.029	0.028	0.030	0.035	Chl:630
	0.028	0.032	0.029	0.030	0.028	0.028	0.029	0.028	0.029	0.029	0.030	0.035	Chl:663
	0.028	0.032	0.029	0.030	0.028	0.028	0.028	0.028	0.029	0.028	0.030	0.034	Chl:750

