"","sample_id","chla.ug.cm2","chlc2.ug.cm2"
"1","D1-B2-2",0.236644492461094,0.343818963492127
"2","D1-B4-32",0.217887320933233,0.386055387425326
"3","D2-B1-91",0.140920895520961,0.161052452023955
"4","D2-B2-30",0.0422177579046609,0.0482488661767553
"5","D2-C1-36",0.13958034128554,0.13617328191189
"6","D2-C2-15",0.123964198491405,0.17493677842084
"7","D4-B4-70",0.0356391202736564,0.040730423169893
"8","D4-C1-65",0.280698912020413,0.0920522061724047
"9","D4-C2-1",0.20833840751343,0.185929370881698
"10","D5-B2-11",0.128489734376529,0.176879168053722
"11","D5-B3-64",0.0525058853186035,0.0800175307081457
"12","D5-B4-53",0.324759182345507,0.118675494425
"13","D5-C1-7",0.147972205539613,0.0637166604107293
"14","G1-B1-26",0.682718120435772,0.346915336765109
"15","G1-B3-24",0.672973455529587,0.193727354000622
"16","G1-C2-50",0.841441126668338,0.482952655282767
"17","G2-C1-84",0.844302704001859,0.283503054022541
"18","G2-C4-57",2.56813690387089,0.769686361078396
"19","G4-B1-17",1.20331918085688,0.344985338960437
"20","G4-B4-12",0.741327919110875,0.411862218923091
"21","G4-C2-42",1.14843939428365,0.302953616223188
"22","G4-C3-72",0.946172383476774,0.257096281548406
"23","G5-B3-19",0.686878385188371,0.232029057815549
"24","G5-B4-67",0.174140774812941,0.101601571363717
"25","G5-C1-49",1.41468957685487,0.586935806848917
"26","G5-C3-56",4.40574188323983,0.935550972300521
"27","G5-C4-41",3.55727326915523,0.699992651702024
"28","S1-B1-9",1.0242202105102,0.339793007899583
"29","S1-B3-18",0.245794643271307,0.170232734064148
"30","S2-C3-86",0.660846750208192,0.375916855919359
"31","S2-C4-97",0.615266786823174,0.370082244243494
"32","S4-C3-47",0.729324693580185,0.301709312834786
"33","S5-B2-63",1.05598140824358,0.493558291504732
"34","S5-B3-4",0.549088409752034,0.28224219432288
"35","S5-C1-74",2.20920796184901,0.454309340966735
"36","S5-C3-45",0.194341192846668,0.0889096442036869
"37","D1-C2-184",0.0856132784281214,0.112275032509948
"38","D1-C3-114",0.179257443434394,0.170617325447492
"39","D2-B3-103",0.0596357026457518,0.0638706460227904
"40","D2-B4-100",0,0
"41","D2-C3-128",0.257234047770958,0.100617001584535
"42","D2-C4-145",0.303298046216257,0.468922726799142
"43","D4-B1-137",0.0498660823020008,0.0376269940129443
"44","D4-C3-185",0.297509857918102,0.0520049737904642
"45","D4-C4-110",0.241219970024034,0.206182432478644
"46","D5-B1-108",0.0704179695868788,0.0294971389415147
"47","D5-C2-121",0.440354328180491,0.229087040123245
"48","D5-C3-168",0.176096516623192,0.146730766130364
"49","G1-B2-152",1.12600448077382,0.275337959902566
"50","G1-C1-118",0.262173902193254,0.0853162425142039
"51","G1-C3-125",1.96517834794451,0.409970510299749
"52","G2-B1-106",2.01830748914386,0.634655066128688
"53","G2-B2-153",0.908733106954996,0.288884965994825
"54","G2-B3-109",2.89722708132536,0.677415114420195
"55","G2-C2-157",2.54328051684261,0.670578040230625
"56","G2-C3-172",5.43726564384296,0.694535770088091
"57","G4-B3-155",0.435087049203935,0.126104963622971
"58","G4-C1-162",1.21413839572813,0.399258861604712
"59","G4-C4-134",0.895226333680303,0.331200913171844
"60","G5-B1-127",0.321502716437356,0.0829443382325312
"61","G5-B2-186",0.469094701980889,0.149735895457337
"62","S1-C1-173",0.449613688751411,0.344306634560802
"63","S1-C3-146",0.531174754521417,0.294059284421111
"64","S2-B1-120",0.216042221066202,0.0845048339739988
"65","S2-B2-104",0.31795157952651,0.0656170136042293
"66","S2-B4-178",1.41240588169669,0.274643069445797
"67","S2-C1-158",0.319418866297496,0.111835012959573
"68","S2-C2-150",0.506681346783723,0.243929801423368
"69","S4-B1-122",0.117330330270507,0.0684557992630539
"70","S4-B2-149",0.530642035093996,0.128166716981561
"71","S4-B3-192",0.183205489916103,0.0814254863879287
"72","S4-B4-147",0.259106785834473,0.101980423462588
"73","S4-C1-156",0.303286445699223,0.0820550772370094
"74","S4-C2-105",0.526821389240541,0.226848680351407
"75","S4-C4-141",0.833023044925652,0.108564674401152
"76","S5-B1-171",0.152467729074824,0.159879354793739
"77","S5-B4-133",0.549017675255812,0.221815766356373
"78","S5-C2-169",0.965842058236554,0.368420657307875
"79","D1-B1-226",0.079807004686369,0.158535536336436
"80","D1-C1-209",0.253711825635554,0.172236314873687
"81","D1-C4-222",0.0721527416770374,0.0420971592693438
"82","D4-B3-214",0.0930847685002076,0.137886165808288
"83","D5-C4-217",0.110742186064804,0.0759637166131297
"84","G1-C4-231",0.618735289431927,0.210350931996214
"85","G2-B4-202",2.5346895834409,0.451835156269175
"86","G4-B2-232",1.6526638618469,0.518705148815696
"87","G5-C2-221",3.06308061292465,0.786074528373396
"88","S1-B2-224",0.167329720152852,0.113594446359673
"89","S1-B4-208",0.268263093882947,0.274058772591497
"90","S1-C2-233",0.245501668072323,0.12819498578665
"91","S1-C4-211",1.28507618687879,0.594347403530849
"92","S5-C4-213",0.623058339945276,0.176102644367573
